pct_superior,pct_inf_ratio,num_grids,modo_grid,stop_loss_pct,take_profit_pct,pnl_pct,portfolio_final,usdt_final,btc_en_pos,n_niveles_abiertos,ganancia_ciclos,ciclos_completos,total_compras,total_trades,max_drawdown,bot_detenido,btc_en_pos_usd,pnl_norm,gan_norm,cic_norm,combo_score
0.0,0.3,50,ari,,,20.4188,1204.19,1145.77,0.00092057,3,205.769,446,449,895,47.83,False,58.418727801,0.39250180033214294,0.42419899275585954,0.10424710424710425,0.3443600188422502
0.0,0.2,75,geo,,,19.8239,1198.24,1172.18,0.00041066,2,198.845,759,761,1520,31.6,False,26.060196138,0.34878679658451256,0.3691282534208442,0.17977799227799227,0.321087472774108
0.0,0.3,100,geo,,,19.784,1197.84,1148.66,0.00077501,5,198.658,1969,1974,3943,43.47,False,49.181592093000006,0.3458548270946312,0.36764092987150154,0.4717664092664093,0.3775729743620479
0.0,0.2,75,ari,,,19.1138,1191.14,1139.28,0.00081717,4,192.6143,799,803,1602,41.6,False,51.857036181,0.29660655761797694,0.3195717462610117,0.18943050193050193,0.2820609030733924
0.0,0.25,100,ari,,,19.0628,1190.63,1122.16,0.00107885,7,192.1648,1589,1596,3185,44.54,False,68.463065805,0.2928589274429404,0.3159966022212821,0.38006756756756754,0.31724195790136833
0.0,0.3,75,ari,,,19.0617,1190.62,1125.7,0.0010229,5,192.3714,981,986,1967,48.21,False,64.91251797,0.2927780962038709,0.3176398163672401,0.23334942084942084,0.28835087718199165
0.0,0.2,100,geo,,,18.8939,1188.94,1159.62,0.00046201,3,189.6206,1336,1339,2675,31.82,False,29.318831193,0.28044765809855515,0.29576104834835504,0.319015444015444,0.2927552323568729
0.0,0.2,100,ari,,,17.9959,1179.96,1121.54,0.00092062,6,181.5367,1376,1382,2758,41.73,False,58.42190076600001,0.2144599738400716,0.23146492620648187,0.32866795366795365,0.24240305551557112
0.0,0.3,100,ari,,,17.7606,1177.61,1109.22,0.00107761,7,179.2218,1699,1706,3405,48.63,False,68.384376273,0.19716943697367836,0.21305313324192,0.4066119691119691,0.243823052281809
0.0,0.25,150,geo,,,17.7,1177.0,1144.57,0.00051106,5,177.9021,3672,3677,7349,38.7,False,32.431509858000005,0.1927163705303998,0.2025567648565329,0.8827220077220077,0.33366961626656133
0.0,0.2,150,geo,,,16.6817,1166.82,1140.9,0.00040847,4,167.5626,2867,2871,5738,32.8,False,25.921220271000003,0.11788868803550685,0.12032049834087873,0.688465250965251,0.23273354371306723
0.0,0.3,150,geo,,,16.6577,1166.58,1120.86,0.00072035,7,167.5307,4158,4165,8323,44.94,False,45.712906755000006,0.11612509736490144,0.12006677844128492,1.0,0.2940825822148362
0.0,0.25,150,ari,,,16.0131,1160.13,1088.36,0.00113098,11,161.6937,3279,3290,6569,46.44,False,71.771199114,0.06875799127022623,0.07364160433694011,0.7878861003861004,0.21404869701341522
0.0,0.2,150,ari,,,15.5781,1155.78,1097.29,0.00092176,9,157.2865,2931,2940,5871,43.29,False,58.494244368000004,0.03679291036550405,0.03858849018366453,0.7039092664092664,0.17075485551970468
0.0,0.3,150,ari,,,15.0774,1150.77,1079.1,0.00112943,11,152.4348,3555,3566,7121,50.43,False,71.67283719900001,0.0,0.0,0.854488416988417,0.1708976833976834
