rsi_length,n_ventana,rsi_buy_trigger,rsi_sell_trigger,floor_pct,factor_caida,factor_subida,pct_ath_proyectado,guardia_compra,guardia_precio_compra,guardia_precio_venta,usdt_reserva_pct,btc_acumula_pct,prof_zona_pct,pnl_pct,portfolio_final,usdt_final,btc_libre,btc_en_pos,btc_total,n_pos_final,total_compras,total_ventas,total_trades,ordenes_canceladas,max_drawdown,btc_total_usd,pnl_norm,btc_norm,port_norm,combo_score
14,20,20,90,15,3.5,1.5,350,True,False,True,0,1,0.0,462.9202,5629.2,7.82,2.13e-06,0.0450046,0.04500673,28,29,1,30,8,32.23,5621.3824332589,0.9814698018659247,0.9846569208481502,0.9814609498536873,0.9824241671581448
14,20,20,90,15,3.5,1.5,350,True,False,True,0,0,0.0,462.9128,5629.13,7.84,0.0,0.04500598,0.04500598,28,29,1,30,8,32.23,5621.2887575613995,0.9813353011634308,0.9844922955353619,0.9813337210781738,0.9822820834579586
14,20,20,90,15,3.5,1.5,350,True,False,False,0,0,0.0,462.9128,5629.13,7.84,0.0,0.04500598,0.04500598,28,29,1,30,8,32.23,5621.2887575613995,0.9813353011634308,0.9844922955353619,0.9813337210781738,0.9822820834579586
14,10,20,90,15,3.5,1.5,750,True,False,False,0,1,0.0,461.9951,5619.95,20.03,1.48e-06,0.04483343,0.04483492,22,23,1,24,8,32.12,5599.9232044756,0.9646553964771715,0.9469445541946532,0.9646485759464916,0.9593407796862801
14,10,20,90,15,3.5,1.5,750,True,False,True,0,1,0.0,461.9951,5619.95,20.03,1.48e-06,0.04483343,0.04483492,22,23,1,24,8,32.12,5599.9232044756,0.9646553964771715,0.9469445541946532,0.9646485759464916,0.9593407796862801
14,10,20,90,15,3.5,1.5,750,True,False,True,0,0,0.0,461.9887,5619.89,20.04,0.0,0.04483427,0.04483427,22,23,1,24,8,32.12,5599.8420188711,0.9645390715452854,0.9468018789235706,0.9645395227103376,0.9592180039917814
14,10,20,90,15,3.5,1.5,750,True,False,False,0,0,0.0,461.9887,5619.89,20.04,0.0,0.04483427,0.04483427,22,23,1,24,8,32.12,5599.8420188711,0.9645390715452854,0.9468018789235706,0.9645395227103376,0.9592180039917814
14,10,20,90,15,3.5,1.5,500,True,False,False,0,1,0.0,461.7524,5617.52,20.66,2.05e-06,0.0448084,0.04481045,22,23,1,24,8,32.11,5596.8668787185,0.9602441369507965,0.9415733789894205,0.9602319198822239,0.9546404661486692
14,10,20,90,15,3.5,1.5,500,True,False,True,0,1,0.0,461.7524,5617.52,20.66,2.05e-06,0.0448084,0.04481045,22,23,1,24,8,32.11,5596.8668787185,0.9602441369507965,0.9415733789894205,0.9602319198822239,0.9546404661486692
14,10,20,90,15,3.5,1.5,500,True,False,False,0,0,0.0,461.7435,5617.43,20.68,0.0,0.04480956,0.04480956,22,23,1,24,8,32.11,5596.7557168908,0.9600823725923914,0.9413780236182446,0.9600683400279915,0.9544682613872674
