rank,rsi_length,N,pnl_pct,portfolio_final,total_trades,total_compras,total_ventas,max_racha_compras,max_racha_ventas,avg_racha_compras,avg_racha_ventas,positions_count_final,usdt_balance_final,btc_balance_final,btc_en_posiciones
576,13,16,-28.9438,710.5621,278,145,133,7,7,3.22,3.02,12,100.8297,0.0,0.03842896
577,9,50,-28.9494,710.5056,268,144,124,7,7,3.89,3.44,20,23.8224,0.0,0.04327886
578,9,23,-28.9699,710.3012,340,183,157,7,7,3.21,2.8,26,26.6418,0.0,0.04308829
579,9,49,-28.9715,710.2851,272,147,125,7,7,3.87,3.38,22,23.3669,0.0,0.04329367
580,8,50,-28.9962,710.0375,266,144,122,7,7,3.79,3.3,22,26.4853,0.0,0.04308153
581,9,35,-28.9985,710.0145,295,155,140,7,7,3.44,3.18,15,10.4796,0.0,0.04408885
582,9,36,-28.9985,710.0145,293,155,138,7,7,3.44,3.14,17,10.4796,0.0,0.04408885
583,9,19,-29.0023,709.9771,337,177,160,7,7,3.05,2.81,17,78.3882,0.0,0.0398065
584,8,49,-29.0207,709.793,270,147,123,7,7,3.77,3.24,24,25.9788,0.0,0.04309804
585,9,34,-29.0245,709.7554,297,155,142,7,7,3.37,3.16,13,11.7516,0.0,0.04399235
586,13,17,-29.0456,709.5438,287,152,135,7,7,3.3,3.0,17,100.0073,0.0,0.03841661
587,17,16,-29.0537,709.4634,258,136,122,7,7,3.32,3.05,14,85.75,0.0,0.03931013
588,9,37,-29.0574,709.4262,292,154,138,7,7,3.42,3.14,16,10.4657,0.0,0.04405265
589,11,30,-29.086,709.1395,295,156,139,7,7,3.32,3.02,17,92.7681,0.0,0.03884739
590,16,16,-29.1052,708.9477,265,136,129,7,7,3.32,3.23,7,90.1473,0.0,0.03900048
591,9,38,-29.1144,708.8561,289,153,136,7,7,3.56,3.24,17,9.2546,0.0,0.04409305
592,8,19,-29.1289,708.7107,343,182,161,7,7,3.08,2.78,21,71.692,0.0,0.04014871
593,8,21,-29.1448,708.5516,347,188,159,7,7,3.24,2.79,29,54.5891,0.0,0.04121661
594,7,23,-29.1815,708.1848,361,199,162,7,7,3.06,2.53,37,6.5896,0.0,0.04421871
595,7,49,-29.1818,708.1824,269,148,121,7,7,3.7,3.1,27,23.2047,0.0,0.04317137
596,11,21,-29.1881,708.1192,314,167,147,7,7,3.27,2.94,20,83.2132,0.0,0.03938529
597,7,50,-29.2008,707.9924,265,146,119,7,7,3.84,3.22,27,23.6263,0.0,0.04313283
598,15,18,-29.2052,707.9477,268,141,127,7,7,3.44,3.17,14,91.566,0.0,0.03884804
599,14,18,-29.2236,707.7638,281,149,132,7,7,3.31,3.0,17,101.406,0.0,0.03821628
600,13,18,-29.2278,707.7224,286,151,135,7,7,3.28,3.0,16,101.3907,0.0,0.03821463
601,9,14,-29.2612,707.3882,330,173,157,7,7,3.04,2.8,16,71.5373,0.0,0.04007511
602,8,22,-29.2829,707.1715,350,191,159,7,7,3.24,2.74,32,49.0152,0.0,0.04148092
603,12,16,-29.2847,707.1526,293,152,141,7,7,3.1,2.94,11,99.079,0.0,0.03832442
604,7,31,-29.3485,706.5154,328,180,148,7,7,3.27,2.74,32,5.5689,0.0,0.04417782
605,17,18,-29.3616,706.3842,260,138,122,7,7,3.37,3.05,16,86.6798,0.0,0.03905746
606,14,17,-29.3679,706.3208,283,151,132,7,7,3.28,2.93,19,100.0229,0.0,0.0382125
607,12,17,-29.3736,706.2638,300,158,142,7,7,3.16,2.9,16,98.6529,0.0,0.03829526
608,11,23,-29.3823,706.1769,313,167,146,7,7,3.34,2.98,21,38.5548,0.0,0.04207752
609,15,17,-29.3827,706.1735,270,143,127,7,7,3.4,3.1,16,90.1805,0.0,0.03882355
610,10,22,-29.3833,706.1666,337,182,155,7,7,3.31,2.87,27,52.6611,0.0,0.0411878
611,9,31,-29.3869,706.1308,313,164,149,7,7,3.28,3.04,15,33.0735,0.0,0.04242008
612,14,22,-29.388,706.1204,284,154,130,7,7,3.42,2.95,24,42.4822,0.0,0.04182643
613,13,22,-29.3917,706.0826,290,156,134,7,7,3.39,2.98,22,42.4763,0.0,0.04182442
614,16,18,-29.4091,705.9094,266,138,128,7,7,3.37,3.2,10,91.1019,0.0,0.03874882
615,14,23,-29.4149,705.8511,285,154,131,7,7,3.35,2.91,23,42.6367,0.0,0.04179972
616,7,32,-29.4181,705.8187,316,171,145,7,7,3.23,2.79,26,15.7853,0.0,0.04349001
617,13,23,-29.4187,705.8133,289,155,134,7,7,3.37,2.98,21,42.6308,0.0,0.04179771
