pct_caida_ath,pct_caida,pct_venta,floor_pct,pendiente,last_op_on_sell,pnl_pct,portfolio_final,usdt_final,btc_libre,btc_en_pos,btc_total,n_pos_final,total_compras,total_ventas,total_trades,max_drawdown,btc_libre_usd,btc_total_usd,pnl_norm,btcl_norm,btct_norm,combo_score
0.4,0.02,0.06,25,76,True,71.3903,1713.9,1000.0,0.01124977,-0.0,0.01124977,0,217,217,434,62.29,713.902529361,713.902529361,0.9693714800503133,0.9693593465053791,0.34116987179487157,0.8437275183357446
0.4,0.02,0.06,30,66,True,71.3898,1713.9,1000.0,0.01124969,-0.0,0.01124969,0,217,217,434,62.29,713.897452617,713.897452617,0.9693643976565774,0.9693521525971807,0.3411442307692307,0.8437166907612891
0.4,0.02,0.05,25,86,True,71.2383,1712.38,1000.0,0.01122582,0.0,0.01122582,0,219,219,438,62.17,712.382679126,712.382679126,0.9672184323546409,0.9672056702384421,0.33349358974358956,0.840469635197571
0.4,0.025,0.05,25,96,True,71.2197,1712.2,1000.0,0.01122289,0.0,0.01122289,0,189,189,378,61.99,712.196743377,712.196743377,0.9669549673076706,0.9669421933506706,0.332554487179487,0.840071039094934
0.4,0.02,0.06,20,86,True,71.1953,1711.95,1000.0,0.01121905,0.0,0.01121905,0,230,230,460,62.24,711.953059665,711.953059665,0.9666093464933653,0.9665968857571408,0.33132371794871784,0.8395484825635684
0.4,0.025,0.06,30,96,True,71.0286,1710.29,1000.0,0.01119277,-0.0,0.01119277,0,138,138,276,62.36,710.285349261,710.285349261,0.9642480764218614,0.9642336869139212,0.3229006410256409,0.8359742724902353
0.4,0.03,0.06,30,86,True,70.9794,1709.79,1000.0,0.01118503,-0.0,0.01118503,0,147,147,294,61.89,709.794174279,709.794174279,0.9635511688782622,0.9635376762957129,0.32041987179487197,0.8349208616868193
0.4,0.025,0.05,30,81,True,70.9631,1709.63,1000.0,0.01118245,0.0,0.01118245,0,195,195,390,61.94,709.630449285,709.630449285,0.9633202828424762,0.96330567275631,0.3195929487179488,0.8345704329917208
0.4,0.02,0.06,25,71,True,70.8545,1708.55,1000.0,0.01116535,-0.0,0.01116535,0,228,228,456,62.15,708.5452952549999,708.5452952549999,0.9617819869230683,0.9617679748788724,0.3141121794871793,0.8322438218226318
0.4,0.02,0.05,20,96,True,70.8223,1708.22,1000.0,0.01116028,0.0,0.01116028,0,233,233,466,62.11,708.223556604,708.223556604,0.961325880766485,0.9613120609467902,0.31248717948717947,0.8315539945647155
0.4,0.025,0.06,30,91,True,70.7855,1707.86,1000.0,0.01115447,0.0,0.01115447,0,146,146,292,62.27,707.854858071,707.854858071,0.9608046165875327,0.9607896033638714,0.31062499999999993,0.8307641893029277
0.4,0.02,0.06,30,61,True,70.7642,1707.64,1000.0,0.01115111,-0.0,0.01115111,0,232,232,464,62.13,707.6416348230001,707.6416348230001,0.9605029066143892,0.9604874592195329,0.3095480769230772,0.8303073064576699
0.4,0.02,0.06,15,96,True,70.7537,1707.54,1000.0,0.01114947,0.0,0.01114947,0,232,232,464,62.13,707.537561571,707.537561571,0.960354176345938,0.9603399841014628,0.3090224358974359,0.8300835705828951
0.4,0.02,0.035,30,96,True,70.7517,1707.52,1000.0,0.01114915,0.0,0.01114915,0,244,244,488,61.63,707.517254595,707.517254595,0.9603258467709951,0.9603112084686687,0.30891987179487185,0.8300402602850725
0.4,0.025,0.05,25,91,True,70.7349,1707.35,1000.0,0.0111465,0.0,0.0111465,0,202,202,404,61.9,707.3490874500001,707.3490874500001,0.9600878783414734,0.9600729102595922,0.30807051282051295,0.829679914812717
0.4,0.02,0.06,20,81,True,70.7075,1707.08,1000.0,0.01114219,-0.0,0.01114219,0,232,232,464,62.12,707.075577867,707.075577867,0.9596997631647535,0.9596853384553959,0.30668910256410253,0.829093303631816
0.4,0.02,0.05,30,71,True,70.6985,1706.98,1000.0,0.01114076,-0.0,0.01114076,0,233,233,466,62.1,706.984831068,706.984831068,0.9595722800775097,0.9595567473463471,0.30623076923076914,0.8288993180888128
0.4,0.025,0.055,30,96,True,70.6901,1706.9,1000.0,0.01113943,-0.0,0.01113943,0,149,149,298,62.3,706.9004301990001,706.9004301990001,0.959453295862749,0.9594371486225465,0.3058044871794874,0.828718689954036
0.4,0.03,0.06,25,96,True,70.6612,1706.61,1000.0,0.01113489,-0.0,0.01113489,0,155,155,310,61.83,706.6123249770001,706.6123249770001,0.9590439335048216,0.9590288943322794,0.30434935897435894,0.8281005068469665
0.4,0.02,0.05,25,81,True,70.5973,1705.97,1000.0,0.01112481,-0.0,0.01112481,0,238,238,476,62.08,705.9726552330001,705.9726552330001,0.958138803585391,0.9581224618992638,0.30111858974359,0.8267298583111926
0.4,0.025,0.06,30,86,True,70.4901,1704.9,1000.0,0.01110792,0.0,0.01110792,0,155,155,310,62.17,704.900827656,704.900827656,0.9566203383684431,0.9566036480308475,0.29570512820512834,0.8244322892345014
0.4,0.035,0.06,30,96,True,70.4141,1704.14,1000.0,0.01109595,0.0,0.01109595,0,125,125,250,61.77,704.141219835,704.141219835,0.955543814520607,0.9555272595166413,0.29186858974358987,0.8228038030640138
0.4,0.02,0.035,30,91,True,70.3994,1703.99,1000.0,0.01109364,-0.0,0.01109364,0,267,267,534,61.56,703.994628852,703.994628852,0.9553355921447755,0.9553195354174085,0.2911282051282052,0.8224892977232514
0.4,0.025,0.05,30,76,True,70.3533,1703.53,1000.0,0.01108636,0.0,0.01108636,0,210,210,420,61.83,703.532645148,703.532645148,0.954682595442338,0.9546648897713417,0.28879487179487184,0.8214997390115459
0.4,0.03,0.06,30,81,True,70.3507,1703.51,1000.0,0.01108596,-0.0,0.01108596,0,164,164,328,61.78,703.5072614280001,703.5072614280001,0.9546457669949121,0.954628920230349,0.2886666666666669,0.8214448928998941
0.4,0.025,0.06,25,96,True,70.3106,1703.11,1000.0,0.01107964,0.0,0.01107964,0,162,162,324,62.12,703.106198652,703.106198652,0.9540777590173036,0.9540606014826645,0.28664102564102567,0.8205852650816563
0.4,0.025,0.055,30,91,True,70.3051,1703.05,1000.0,0.01107878,-0.0,0.01107878,0,158,158,316,62.21,703.051623654,703.051623654,0.9539998526862102,0.9539832669695302,0.28636538461538463,0.8204679833570411
0.4,0.02,0.06,15,91,True,70.2843,1702.84,1000.0,0.01107548,0.0,0.01107548,0,245,245,490,62.01,702.8422079640001,702.8422079640001,0.9537052251068026,0.9536865182563405,0.2853076923076925,0.820020106491842
0.4,0.04,0.06,20,16,True,70.2838,1702.84,1000.0,0.01107541,-0.0,0.01107541,0,176,176,352,39.38,702.837765813,702.837765813,0.9536981427130667,0.9536802235866669,0.28528525641025676,0.8200101897145848
0.4,0.02,0.05,20,91,True,70.2302,1702.3,1000.0,0.01106696,0.0,0.01106696,0,250,250,500,62.03,702.3015347280001,702.3015347280001,0.9529389101045928,0.9529203670331964,0.28257692307692334,0.8188609497776399
0.4,0.02,0.06,25,66,True,70.2156,1702.16,1000.0,0.01106467,0.0,0.01106467,0,248,248,496,62.0,702.156212931,702.156212931,0.9527321042075084,0.9527144414110131,0.2818429487179489,0.818548974270648
0.4,0.025,0.05,25,86,True,70.176,1701.76,1000.0,0.01105843,0.0,0.01105843,0,221,221,442,61.79,701.760226899,701.760226899,0.952171178623636,0.9521533165715271,0.27984294871794857,0.8177001740268659
0.4,0.02,0.06,20,76,True,70.14,1701.4,1000.0,0.01105276,0.0,0.01105276,0,251,251,502,61.98,701.4004126680001,701.4004126680001,0.951661246274661,0.9516434483279559,0.2780256410256411,0.8169287858408454
0.4,0.025,0.06,30,81,True,70.132,1701.32,1000.0,0.01105149,-0.0,0.01105149,0,168,168,336,62.07,701.319819357,701.319819357,0.9515479279748887,0.9515292450353041,0.27761858974359,0.8167564554467537
0.4,0.04,0.06,15,16,True,70.0998,1701.0,1000.0,0.01104641,0.0,0.01104641,0,176,176,352,35.93,700.997446113,700.997446113,0.9510918218183055,0.9510724318646969,0.27599038461538455,0.8160657173916387
