rank,floor_pct,factor_caida,factor_subida,portfolio_final,pnl_pct,btc_acumulado,btc_value,btc_ratio,bear_score,usdt_final,min_usdt,sobrevivio,total_compras,total_ventas,precio_prom_final
1,10,0.5,0.5,1780.74,78.074,0.0,0.0,0.0,0.0,1780.74,0.0,False,448,361,0.0
2,10,0.5,1.0,1899.25,89.925,0.0,0.0,0.0,0.0,1899.25,0.0,False,456,357,0.0
3,10,0.5,1.5,2097.63,109.763,0.0,0.0,0.0,0.0,2097.63,0.0,False,465,351,0.0
4,10,0.5,2.0,2362.1,136.21,0.0,0.0,0.0,0.0,2362.1,0.0,False,477,332,0.0
5,10,0.5,2.5,2498.18,149.818,0.0,0.0,0.0,0.0,2498.18,0.0,False,478,327,0.0
6,10,0.5,3.0,2680.07,168.007,0.0,0.0,0.0,0.0,2680.07,0.0,False,483,323,0.0
7,10,1.0,0.5,1410.66,41.066,0.0,0.0,0.0,0.0,1410.66,0.0,False,418,420,0.0
8,10,1.0,1.0,1404.05,40.405,0.0,0.0,0.0,0.0,1404.05,0.0,False,441,373,0.0
9,10,1.0,1.5,1519.59,51.959,0.0,0.0,0.0,0.0,1519.59,0.0,False,449,370,0.0
10,10,1.0,2.0,1629.47,62.947,0.0,0.0,0.0,0.0,1629.47,0.0,False,450,369,0.0
11,10,1.0,2.5,1737.42,73.742,-0.0,-0.0,-0.0,-0.0,1737.42,0.0,False,452,366,0.0
12,10,1.0,3.0,1900.85,90.085,0.0,0.0,0.0,0.0,1900.85,0.0,False,460,360,0.0
13,10,1.5,0.5,1363.78,36.378,0.0,0.0,0.0,0.0,1363.78,0.0,False,361,483,0.0
14,10,1.5,1.0,1281.83,28.183,0.0,0.0,0.0,0.0,1281.83,0.0,False,404,428,0.0
15,10,1.5,1.5,1279.13,27.913,0.0,0.0,0.0,0.0,1279.13,0.0,False,434,392,0.0
16,10,1.5,2.0,1352.9,35.29,0.0,0.0,0.0,0.0,1352.9,0.0,False,436,390,0.0
17,10,1.5,2.5,1436.18,43.618,0.0,0.0,0.0,0.0,1436.18,0.0,False,437,390,0.0
18,10,1.5,3.0,1510.69,51.069,0.0,0.0,0.0,0.0,1510.69,0.0,False,438,390,0.0
19,10,2.0,0.5,1280.89,28.089,0.0,0.0,0.0,0.0,1280.89,0.0,False,273,593,0.0
20,10,2.0,1.0,1335.77,33.577,0.0,0.0,0.0,0.0,1335.77,0.0,False,364,482,0.0
21,10,2.0,1.5,1326.56,32.656,-0.0,-0.0,-0.0,-0.0,1326.56,0.0,False,376,470,0.0
22,10,2.0,2.0,1284.29,28.429,0.0,0.0,0.0,0.0,1284.29,0.0,False,391,446,0.0
23,10,2.0,2.5,1350.46,35.046,0.0,0.0,0.0,0.0,1350.46,0.0,False,395,441,0.0
24,10,2.0,3.0,1411.48,41.148,0.0,0.0,0.0,0.0,1411.48,0.0,False,404,438,0.0
25,10,2.5,0.5,1316.49,31.649,0.0,0.0,0.0,0.0,1316.49,0.0,False,249,620,0.0
26,10,2.5,1.0,1364.15,36.415,0.0,0.0,0.0,0.0,1364.15,0.0,False,301,573,0.0
27,10,2.5,1.5,1358.18,35.818,0.0,0.0,0.0,0.0,1358.18,0.0,False,361,497,0.0
28,10,2.5,2.0,1360.47,36.047,0.0,0.0,0.0,0.0,1360.47,0.0,False,368,478,131072.0
29,10,2.5,2.5,1362.21,36.221,0.0,0.0,0.0,0.0,1362.21,0.0,False,368,475,0.0
30,10,2.5,3.0,1376.29,37.629,0.0,0.0,0.0,0.0,1376.29,0.0,False,372,471,0.0
31,10,3.0,0.5,1305.12,30.512,0.0,0.0,0.0,0.0,1305.12,11.88,True,184,709,0.0
32,10,3.0,1.0,1207.12,20.712,0.0,0.0,0.0,0.0,1207.12,0.0,False,265,600,0.0
33,10,3.0,1.5,1363.58,36.358,0.0,0.0,0.0,0.0,1363.58,0.0,False,282,586,0.0
34,10,3.0,2.0,1434.1,43.41,0.0,0.0,0.0,0.0,1434.1,0.0,False,323,539,0.0
35,10,3.0,2.5,1439.04,43.904,0.0,0.0,0.0,0.0,1439.04,0.0,False,342,518,0.0
36,10,3.0,3.0,1460.88,46.088,0.0,0.0,0.0,0.0,1460.88,0.0,False,350,507,0.0
37,10,3.5,0.5,1292.96,29.296,0.0,0.0,0.0,0.0,1292.96,43.96,True,178,716,0.0
38,10,3.5,1.0,1277.81,27.781,0.0,0.0,0.0,0.0,1277.81,0.22,False,230,648,131072.0
39,10,3.5,1.5,1233.81,23.381,0.0,0.0,0.0,0.0,1233.81,0.0,False,261,607,0.0
40,10,3.5,2.0,1263.13,26.313,0.0,0.0,0.0,0.0,1263.13,0.0,False,267,596,0.0
41,10,3.5,2.5,1404.16,40.416,0.0,0.0,0.0,0.0,1404.16,0.0,False,273,584,131072.0
42,10,3.5,3.0,1515.41,51.541,0.0,0.0,0.0,0.0,1515.41,0.0,False,279,580,0.0
43,10,4.0,0.5,1230.18,23.018,0.0,0.0,0.0,0.0,1230.18,116.61,True,167,723,0.0
44,10,4.0,1.0,1357.5,35.75,0.0,0.0,0.0,0.0,1357.5,11.54,True,214,673,0.0
45,10,4.0,1.5,1311.91,31.191,0.0,0.0,0.0,0.0,1311.91,0.27,False,233,644,0.0
46,10,4.0,2.0,1291.04,29.104,0.0,0.0,0.0,0.0,1291.04,0.07,False,245,629,0.0
47,10,4.0,2.5,1349.35,34.935,-0.0,-0.0,-0.0,-0.0,1349.35,0.04,False,252,623,0.0
48,10,4.0,3.0,1472.74,47.274,0.0,0.0,0.0,0.0,1472.74,0.02,False,256,620,0.0
