rank,rsi_length,N,pnl_pct,portfolio_final,total_trades,total_compras,total_ventas,max_racha_compras,max_racha_ventas,avg_racha_compras,avg_racha_ventas,positions_count_final,usdt_balance_final,btc_balance_final,btc_en_posiciones
1,7,13,23.7133,1237.133,258,118,140,30,46,3.81,4.67,-22,44.6061,0.0,0.07516014
2,9,8,23.5747,1235.747,205,93,112,21,39,3.88,4.87,-19,34.5197,0.0,0.07570849
3,7,15,23.5251,1235.2513,253,112,141,30,46,3.86,5.04,-29,46.5154,0.0,0.07492121
4,7,14,22.9583,1229.5826,262,124,138,30,47,4.0,4.6,-14,44.2999,0.0,0.07470357
5,7,16,22.7821,1227.8214,260,121,139,30,46,3.9,4.63,-18,26.5999,0.0,0.07570813
6,7,23,22.7559,1227.5592,264,134,130,30,32,4.62,4.64,4,36.4963,0.0,0.07506787
7,9,15,22.4737,1224.7372,247,115,132,30,44,3.97,4.71,-17,76.3473,0.0,0.07237837
8,7,20,22.4103,1224.1026,261,124,137,31,44,4.28,4.89,-13,52.8354,0.0,0.07382023
9,7,9,22.3774,1223.7743,247,111,136,26,35,3.7,4.69,-25,25.3862,0.0,0.07552955
10,7,21,22.2813,1222.8125,264,131,133,31,31,4.37,4.59,-2,36.3992,0.0,0.07477483
11,10,15,22.2352,1222.3515,240,111,129,30,42,4.44,5.38,-18,75.7851,0.0,0.07226344
12,7,22,22.0343,1220.3426,264,131,133,30,32,4.23,4.43,-2,36.2725,0.0,0.07462714
13,12,15,21.8542,1218.5418,224,105,119,29,24,4.2,4.96,-14,88.4556,0.0,0.07122476
14,8,8,21.774,1217.7398,214,97,117,22,41,3.88,4.88,-20,58.1367,0.0,0.07308509
15,7,10,21.5081,1215.0811,255,116,139,28,49,3.87,4.79,-23,24.8695,0.0,0.07501422
16,7,8,21.4905,1214.9053,226,99,127,23,45,3.81,5.08,-28,41.2283,0.0,0.07397211
17,11,15,21.3317,1213.3168,230,107,123,28,29,4.12,4.92,-16,74.7188,0.0,0.07176122
18,10,20,21.1896,1211.8964,251,123,128,31,30,4.39,4.74,-5,52.5804,0.0,0.07306699
19,10,8,21.1406,1211.406,199,93,106,21,37,4.43,5.3,-13,26.3671,0.0,0.0746882
20,7,11,21.091,1210.9095,256,121,135,29,46,4.03,4.66,-14,24.7324,0.0,0.07475994
